2.117e+00 2.022e+05 1.533e+05 5.080e+04
1.649e+00 1.985e+05 1.492e+05 4.799e+04
1.284e+00 1.923e+05 1.471e+05 4.538e+04
1.000e+00 1.873e+05 1.443e+05 4.210e+04
7.788e-01 1.823e+05 1.401e+05 3.771e+04
6.065e-01 1.723e+05 1.356e+05 3.327e+04
4.724e-01 1.636e+05 1.303e+05 2.853e+04
3.679e-01 1.486e+05 1.235e+05 2.338e+04
2.865e-01 1.391e+05 1.152e+05 1.862e+04
2.231e-01 1.313e+05 1.023e+05 1.422e+04
1.738e-01 1.211e+05 8.908e+04 1.066e+04
1.353e-01 1.086e+05 7.603e+04 7.326e+03
1.054e-01 9.913e+04 6.218e+04 4.917e+03
8.208e-02 8.989e+04 4.623e+04 2.985e+03
6.393e-02 7.865e+04 3.367e+04 1.731e+03
4.979e-02 6.492e+04 2.416e+04 9.784e+02
3.877e-02 5.528e+04 1.598e+04 5.018e+02
3.020e-02 4.120e+04 1.065e+04 3.007e+02
2.352e-02 3.071e+04 7.032e+03 1.954e+02
1.832e-02 2.247e+04 4.405e+03 1.254e+02
