2.117e+00 1.680e+05 1.376e+05 1.587e+04
1.649e+00 1.638e+05 1.338e+05 1.533e+04
1.284e+00 1.608e+05 1.321e+05 1.500e+04
1.000e+00 1.571e+05 1.303e+05 1.444e+04
7.788e-01 1.529e+05 1.272e+05 1.378e+04
6.065e-01 1.454e+05 1.229e+05 1.258e+04
4.724e-01 1.400e+05 1.188e+05 1.125e+04
3.679e-01 1.283e+05 1.146e+05 1.015e+04
2.865e-01 1.229e+05 1.059e+05 8.587e+03
2.231e-01 1.133e+05 9.773e+04 7.135e+03
1.738e-01 1.030e+05 8.547e+04 5.653e+03
1.353e-01 9.427e+04 7.030e+04 4.092e+03
1.054e-01 8.484e+04 5.718e+04 2.959e+03
8.208e-02 7.436e+04 4.530e+04 1.820e+03
6.393e-02 6.342e+04 3.316e+04 9.671e+02
4.979e-02 5.618e+04 2.484e+04 5.328e+02
3.877e-02 4.394e+04 1.685e+04 3.181e+02
3.020e-02 3.371e+04 1.177e+04 1.874e+02
2.352e-02 2.497e+04 7.790e+03 1.229e+02
1.832e-02 1.698e+04 4.999e+03 8.004e+01
