0.057   7.8028e-03 6.4006e-05 0.000
0.065   1.3702e-02 1.9218e-04 0.000
0.075   2.3777e-02 4.4882e-04 0.000
0.087   2.5666e-02 7.7016e-04 0.000
0.100   4.9203e-02 1.4783e-03 0.000
0.116   1.1203e-01 3.3484e-03 0.000
0.134   2.1424e-01 7.4797e-03 0.001
0.154   3.6174e-01 1.5497e-02 0.002
0.178   6.3945e-01 3.1877e-02 0.006
0.206   1.1388e+00 6.5637e-02 0.015
0.238   1.9578e+00 1.3269e-01 0.037
0.274   2.9232e+00 2.4796e-01 0.078
0.317   3.6839e+00 4.1602e-01 0.139
0.366   4.2468e+00 6.3970e-01 0.217
0.422   4.4597e+00 9.1054e-01 0.314
0.487   3.5809e+00 1.1615e+00 0.343
0.563   2.6371e+00 1.3752e+00 0.349
0.650   2.1037e+00 1.5720e+00 0.379
0.750   1.6160e+00 1.7464e+00 0.402
0.866   1.1114e+00 1.8849e+00 0.382
1.000   8.0602e-01 2.0009e+00 0.383
1.155   5.3367e-01 2.0896e+00 0.348
1.334   4.2319e-01 2.1708e+00 0.382
1.540   2.6733e-01 2.2301e+00 0.334
1.779   1.8492e-01 2.2774e+00 0.320
2.054   1.3106e-01 2.3162e+00 0.315
2.372   8.5026e-02 2.3452e+00 0.287
2.739   6.2247e-02 2.3697e+00 0.291
3.163   4.3904e-02 2.3897e+00 0.285
3.652   2.7291e-02 2.4041e+00 0.246
4.217   1.8698e-02 2.4154e+00 0.234
4.870   1.1647e-02 2.4236e+00 0.205
5.624   7.6040e-03 2.4297e+00 0.186
6.494   7.1043e-03 2.4364e+00 0.242
7.499   4.1050e-03 2.4408e+00 0.196
8.660   2.3202e-03 2.4437e+00 0.155
10.000  1.7323e-03 2.4462e+00 0.162
11.548  1.0137e-03 2.4479e+00 0.132
13.336  5.2744e-04 2.4489e+00 0.097
15.400  4.8500e-04 2.4499e+00 0.124
17.783  1.5887e-04 2.4504e+00 0.057
20.536  1.6039e-04 2.4508e+00 0.080
23.714  1.3769e-04 2.4513e+00 0.097
27.385  8.5273e-05 2.4516e+00 0.085
31.623  4.4160e-05 2.4518e+00 0.061
