1   0.057 0.000e+00 0.000e+00  0.000
1   0.065 1.181e+04 0.000e+00  0.000
1   0.075 1.466e+04 0.000e+00  0.000
1   0.087 3.031e+04 0.000e+00  0.000
1   0.100 1.129e+05 0.000e+00  0.000
1   0.116 4.668e+05 0.000e+00  0.001
1   0.134 7.763e+05 0.000e+00  0.001
1   0.154 2.056e+06 0.000e+00  0.003
1   0.178 5.620e+06 0.000e+00  0.007
1   0.206 1.196e+07 0.000e+00  0.015
1   0.238 2.984e+07 0.000e+00  0.038
1   0.274 6.386e+07 0.000e+00  0.082
1   0.317 1.220e+08 0.000e+00  0.155
1   0.366 2.076e+08 0.000e+00  0.251
1   0.422 2.796e+08 0.000e+00  0.325
1   0.487 3.577e+08 0.000e+00  0.395
1   0.563 3.993e+08 0.000e+00  0.425
1   0.650 3.927e+08 0.000e+00  0.399
1   0.750 3.984e+08 0.000e+00  0.391
1   0.866 4.042e+08 0.000e+00  0.383
1   1.000 4.458e+08 0.000e+00  0.408
1   1.155 4.029e+08 0.000e+00  0.353
1   1.334 4.305e+08 0.000e+00  0.365
1   1.540 4.359e+08 0.000e+00  0.358
1   1.779 4.139e+08 0.000e+00  0.329
1   2.054 4.229e+08 0.000e+00  0.326
1   2.372 4.066e+08 0.000e+00  0.307
1   2.739 4.139e+08 0.000e+00  0.303
1   3.163 3.879e+08 0.000e+00  0.276
1   3.652 3.553e+08 0.000e+00  0.245
1   4.217 3.931e+08 0.000e+00  0.263
1   4.870 3.425e+08 0.000e+00  0.225
1   5.624 2.851e+08 0.000e+00  0.182
1   6.494 3.305e+08 0.000e+00  0.205
1   7.499 2.976e+08 0.000e+00  0.182
1   8.660 2.302e+08 0.000e+00  0.137
1  10.000 3.009e+08 0.000e+00  0.175
1  11.548 2.144e+08 0.000e+00  0.122
1  13.336 1.851e+08 0.000e+00  0.103
1  15.400 2.140e+08 0.000e+00  0.116
1  17.783 1.427e+08 0.000e+00  0.076
1  20.536 1.987e+08 0.000e+00  0.103
1  23.714 1.085e+08 0.000e+00  0.056
1  27.385 1.683e+08 0.000e+00  0.085
1  31.623 8.312e+07 0.000e+00  0.041
