1   0.057 1.780e+06 0.000e+00  0.002
1   0.065 3.547e+06 0.000e+00  0.005
1   0.075 7.519e+06 0.000e+00  0.010
1   0.087 1.445e+07 0.000e+00  0.019
1   0.100 2.940e+07 0.000e+00  0.038
1   0.116 5.525e+07 0.000e+00  0.071
1   0.134 9.773e+07 0.000e+00  0.126
1   0.154 1.615e+08 0.000e+00  0.208
1   0.178 2.516e+08 0.000e+00  0.324
1   0.206 3.560e+08 0.000e+00  0.459
1   0.238 4.633e+08 0.000e+00  0.597
1   0.274 5.612e+08 0.000e+00  0.723
1   0.317 6.253e+08 0.000e+00  0.795
1   0.366 6.899e+08 0.000e+00  0.833
1   0.422 7.314e+08 0.000e+00  0.850
1   0.487 7.725e+08 0.000e+00  0.854
1   0.563 8.137e+08 0.000e+00  0.867
1   0.650 8.689e+08 0.000e+00  0.882
1   0.750 9.021e+08 0.000e+00  0.884
1   0.866 9.281e+08 0.000e+00  0.879
1   1.000 9.721e+08 0.000e+00  0.890
1   1.155 1.004e+09 0.000e+00  0.879
1   1.334 1.040e+09 0.000e+00  0.881
1   1.540 1.050e+09 0.000e+00  0.862
1   1.779 1.112e+09 0.000e+00  0.884
1   2.054 1.139e+09 0.000e+00  0.878
1   2.372 1.135e+09 0.000e+00  0.856
1   2.739 1.191e+09 0.000e+00  0.872
1   3.163 1.219e+09 0.000e+00  0.866
1   3.652 1.212e+09 0.000e+00  0.836
1   4.217 1.268e+09 0.000e+00  0.850
1   4.870 1.276e+09 0.000e+00  0.839
1   5.624 1.308e+09 0.000e+00  0.836
1   6.494 1.338e+09 0.000e+00  0.831
1   7.499 1.337e+09 0.000e+00  0.815
1   8.660 1.388e+09 0.000e+00  0.824
1  10.000 1.384e+09 0.000e+00  0.807
1  11.548 1.370e+09 0.000e+00  0.778
1  13.336 1.457e+09 0.000e+00  0.813
1  15.400 1.484e+09 0.000e+00  0.806
1  17.783 1.409e+09 0.000e+00  0.752
1  20.536 1.590e+09 0.000e+00  0.828
1  23.714 1.574e+09 0.000e+00  0.806
1  27.385 1.549e+09 0.000e+00  0.780
1  31.623 1.621e+09 0.000e+00  0.796
